Subject,Run,TSNE1,TSNE2,TSNE3,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,Set Label,Group Probability
sub-010117,post-ses-02-run-02-acq-PA,-9.405707,-2.6596339,6.099662,0.4,-0.2857142857142857,-1.4,0.875,0.0,-2.0,0.35294117647058826,-0.5714285714285714,0.3157894736842105,0.625,0.8571428571428571,Set A,0.9947296135992938
sub-010118,post-ses-02-run-01-acq-AP,3.9349594,1.8546609,-8.133537,1.4,-0.8571428571428571,-0.2,0.625,0.14285714285714285,0.8,0.35294117647058826,-0.2857142857142857,0.7368421052631579,0.875,-0.2857142857142857,Set B,0.9989805382762604
sub-010118,post-ses-02-run-01-acq-PA,0.5732598,-8.309125,-4.9084992,1.4,-0.8571428571428571,-0.2,1.125,0.2857142857142857,0.0,-0.5882352941176471,0.5714285714285714,-0.7368421052631579,0.25,-0.7142857142857143,Set B,0.9986558289500062
sub-010118,post-ses-02-run-02-acq-AP,-7.325611,-3.9431345,0.5148582,1.0,-0.42857142857142855,-1.6,0.875,0.42857142857142855,-0.2,0.23529411764705882,0.42857142857142855,-0.9473684210526315,0.0,-1.0,Set B,0.8336283113758156
sub-010118,post-ses-02-run-02-acq-PA,1.368903,-9.0004,-5.8307843,1.4,-0.8571428571428571,0.2,0.125,0.5714285714285714,0.2,-0.7058823529411765,0.42857142857142855,-1.0526315789473684,-0.875,-1.0,Set B,0.9977063375577648
sub-010120,post-ses-02-run-01-acq-PA,-8.353626,-4.675458,-0.29790422,-0.2,-0.5714285714285714,-1.6,1.125,0.2857142857142857,0.2,-0.8235294117647058,0.7142857142857143,-0.5263157894736842,0.125,-1.0,Ambiguous,0.7949921064247374
sub-010120,post-ses-02-run-02-acq-AP,-10.404903,-7.154363,-0.2480714,1.2,-0.7142857142857143,-2.2,1.125,1.0,1.0,-1.0588235294117647,0.7142857142857143,-0.631578947368421,0.75,0.2857142857142857,Set B,0.965392645870483
sub-010121,post-ses-02-run-01-acq-AP,-9.949791,-6.3450456,1.8602324,0.4,-0.5714285714285714,-2.4,1.0,0.2857142857142857,1.0,0.23529411764705882,0.42857142857142855,0.3157894736842105,0.625,1.0,Ambiguous,0.7006678661590571
sub-010121,post-ses-02-run-01-acq-PA,-6.0875177,1.6426216,10.272148,-1.0,0.42857142857142855,-2.4,0.75,0.5714285714285714,-1.2,0.35294117647058826,-1.4285714285714286,0.42105263157894735,-0.375,0.0,Set A,0.9999844481431927
sub-010121,post-ses-02-run-02-acq-AP,-7.777395,-4.039348,4.4961133,0.4,-0.2857142857142857,-1.4,0.75,0.14285714285714285,-0.6,-0.23529411764705882,-0.7142857142857143,0.631578947368421,0.5,0.0,Ambiguous,0.6519737267165924
sub-010121,post-ses-02-run-02-acq-PA,-9.003046,-7.002588,0.5609814,0.4,-0.14285714285714285,-1.4,1.125,0.2857142857142857,0.8,-0.7058823529411765,0.5714285714285714,0.21052631578947367,0.25,0.7142857142857143,Set B,0.9791331762853719
